2011-12-10 15:50:54 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 256]
2011-12-10 15:51:40 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 7]
2011-12-10 15:51:40 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 12]
2011-12-10 15:51:40 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 17]
2011-12-10 15:51:40 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 18]
2011-12-10 15:51:40 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 19]
2011-12-10 15:51:40 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 25]
2011-12-10 15:51:40 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 27]
2011-12-10 15:51:40 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 34]
2011-12-10 15:51:40 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 42]
2011-12-10 15:51:40 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\questions\share.ctp, line 48]
